employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met_more_than_80,awards_won,avg_training_score
42467,Procurement,region_7,Bachelors,f,other,2,33,3.0,6,1,0,68
76892,Technology,region_2,Bachelors,f,other,1,37,3.0,5,1,0,77
39506,Operations,region_4,Bachelors,m,other,1,26,3.0,3,1,0,56
50433,Procurement,region_22,Masters & above,m,sourcing,1,35,5.0,9,0,0,71
61717,Sales & Marketing,region_16,Bachelors,m,other,2,53,1.0,5,1,0,48
31643,Operations,region_32,Bachelors,m,sourcing,1,30,3.0,4,1,0,61
3214,Technology,region_2,Masters & above,m,sourcing,1,50,3.0,7,0,0,80
42850,Sales & Marketing,region_2,Bachelors,m,other,1,46,1.0,16,0,0,47
37786,Operations,region_13,Bachelors,m,other,1,30,1.0,5,0,0,56
34022,Operations,region_2,Bachelors,m,other,1,40,3.0,12,1,0,60
23601,Procurement,region_15,Bachelors,f,other,1,31,5.0,3,1,0,72
19020,Operations,region_19,Bachelors,m,other,2,40,5.0,14,1,0,59
55624,Technology,region_31,Masters & above,f,other,2,33,3.0,4,1,0,78
15363,Sales & Marketing,region_2,Bachelors,m,other,2,25,1.0,3,0,0,52
57330,Technology,region_7,Masters & above,f,sourcing,2,34,3.0,4,1,0,78
77397,Sales & Marketing,region_1,Bachelors,m,other,1,29,5.0,4,1,0,49
28625,Operations,region_7,Bachelors,f,other,1,35,3.0,10,0,0,64
72938,Operations,region_2,Bachelors,m,other,1,59,2.0,6,0,0,60
32110,Sales & Marketing,region_28,Bachelors,f,sourcing,1,26,2.0,4,0,0,48
43563,Sales & Marketing,region_22,Bachelors,f,sourcing,1,28,,1,0,0,49
11875,Procurement,region_8,Masters & above,f,sourcing,1,36,3.0,4,1,0,67
61419,Technology,region_2,Masters & above,f,sourcing,1,36,4.0,9,1,0,82
53290,Sales & Marketing,region_2,Masters & above,f,other,1,45,2.0,18,0,0,45
7593,Operations,region_22,Bachelors,f,sourcing,1,30,2.0,4,0,0,59
77460,Sales & Marketing,region_2,Bachelors,f,sourcing,1,35,3.0,3,1,0,52
27402,Procurement,region_2,Masters & above,f,other,1,58,3.0,16,0,0,68
5056,Operations,region_2,Masters & above,m,sourcing,1,42,2.0,9,0,0,59
14150,Operations,region_2,Bachelors,m,sourcing,1,39,3.0,8,0,0,58
34431,Sales & Marketing,region_2,,m,other,1,22,,1,0,0,51
23714,Technology,region_7,Masters & above,m,sourcing,2,40,3.0,6,0,0,81
53658,Technology,region_1,Masters & above,m,other,1,31,3.0,5,0,0,77
48245,Finance,region_2,Masters & above,m,sourcing,1,60,1.0,8,0,0,62
52265,Sales & Marketing,region_7,Bachelors,m,sourcing,1,32,5.0,2,1,0,53
42524,Sales & Marketing,region_31,Bachelors,m,sourcing,1,26,4.0,5,0,0,45
56948,HR,region_7,Bachelors,m,sourcing,2,28,3.0,4,0,0,48
5005,Procurement,region_19,Bachelors,m,other,1,35,2.0,3,0,0,71
69245,Operations,region_22,Masters & above,m,sourcing,1,43,3.0,17,0,0,70
48877,Sales & Marketing,region_30,Bachelors,m,other,2,28,4.0,5,0,0,49
23063,Analytics,region_15,Bachelors,m,other,1,25,3.0,5,0,0,86
17033,Operations,region_13,Bachelors,m,sourcing,1,35,4.0,4,0,0,62
67571,Technology,region_14,Bachelors,f,other,1,31,1.0,6,0,0,84
42657,HR,region_28,Bachelors,m,other,1,30,2.0,2,0,0,53
18454,Sales & Marketing,region_2,Masters & above,m,sourcing,1,38,5.0,9,1,0,48
73089,R&D,region_7,Masters & above,m,sourcing,1,42,5.0,5,1,0,83
55925,Operations,region_22,Bachelors,f,sourcing,1,30,5.0,7,0,0,58
4533,Sales & Marketing,region_7,,m,sourcing,1,21,5.0,2,1,0,49
36221,Analytics,region_22,,f,other,1,28,5.0,4,0,0,84
31831,Technology,region_20,Masters & above,m,other,1,55,3.0,4,0,0,74
20674,Sales & Marketing,region_7,Bachelors,f,sourcing,1,25,,1,1,0,50
59825,Finance,region_14,Bachelors,m,other,1,29,5.0,3,1,0,59
14590,Operations,region_27,Bachelors,f,other,1,26,4.0,3,0,0,58
26714,Operations,region_32,Bachelors,f,other,1,41,5.0,3,1,1,62
3635,Finance,region_23,Bachelors,m,other,1,34,3.0,7,0,0,58
34165,Technology,region_2,,m,other,1,43,3.0,17,0,0,77
74462,Operations,region_7,Masters & above,m,other,3,36,4.0,7,1,0,61
41966,Operations,region_15,Masters & above,f,other,1,31,2.0,4,0,0,53
66880,Technology,region_22,Bachelors,m,referred,2,34,4.0,6,0,0,81
77532,Sales & Marketing,region_9,Bachelors,m,sourcing,1,28,,1,0,0,53
77914,Sales & Marketing,region_33,Bachelors,m,sourcing,1,30,1.0,4,0,0,50
59733,Operations,region_8,Masters & above,f,sourcing,1,40,5.0,3,1,0,56
73842,Operations,region_16,Bachelors,m,other,1,34,2.0,8,1,0,59
44091,Operations,region_22,Masters & above,m,other,1,34,3.0,7,1,0,59
43680,Sales & Marketing,region_24,Bachelors,m,other,2,30,1.0,8,1,0,53
9890,Finance,region_2,Bachelors,m,other,3,25,,1,0,0,60
56210,Operations,region_16,Bachelors,f,other,1,33,3.0,5,0,0,59
34549,R&D,region_26,Masters & above,m,other,1,35,1.0,6,0,0,85
69619,HR,region_10,Bachelors,m,other,1,29,4.0,2,1,0,57
19346,Sales & Marketing,region_11,Bachelors,m,other,1,26,,1,1,0,49
14053,Finance,region_7,Masters & above,m,sourcing,1,32,4.0,5,1,0,61
38699,Procurement,region_6,Bachelors,f,other,1,29,,1,0,0,67
74344,Technology,region_2,Below Secondary,m,referred,1,25,3.0,2,0,0,85
76531,Sales & Marketing,region_11,Bachelors,m,sourcing,1,33,1.0,4,1,0,46
61645,Sales & Marketing,region_2,Masters & above,f,sourcing,1,39,5.0,4,1,0,50
18109,Sales & Marketing,region_13,,m,other,1,21,,1,0,0,48
72357,Operations,region_2,Masters & above,m,other,1,40,4.0,7,1,0,58
16940,Sales & Marketing,region_13,Bachelors,m,other,1,30,4.0,8,0,0,46
13188,HR,region_16,Bachelors,m,other,1,31,2.0,4,0,0,54
19322,R&D,region_2,Bachelors,m,other,1,37,3.0,8,0,0,78
60787,Procurement,region_13,Bachelors,f,sourcing,1,40,3.0,13,0,0,67
24287,Sales & Marketing,region_7,Bachelors,m,sourcing,2,38,3.0,3,0,0,52
8823,Operations,region_7,Bachelors,m,sourcing,1,38,3.0,3,0,0,56
62596,Technology,region_2,Bachelors,f,sourcing,2,34,3.0,5,0,0,82
27039,Technology,region_15,Bachelors,f,sourcing,1,28,3.0,2,0,0,83
26331,Sales & Marketing,region_23,Bachelors,m,other,1,28,3.0,4,0,0,50
74667,Sales & Marketing,region_2,,f,sourcing,1,36,3.0,7,0,0,49
52946,Sales & Marketing,region_2,Bachelors,f,other,1,24,3.0,3,0,0,61
70316,Legal,region_2,Bachelors,m,sourcing,1,59,4.0,12,0,0,60
72443,Sales & Marketing,region_2,Masters & above,m,sourcing,1,38,3.0,10,0,0,47
26131,Sales & Marketing,region_31,Bachelors,m,sourcing,3,31,3.0,5,0,0,47
50540,Procurement,region_6,Bachelors,m,sourcing,2,27,1.0,3,0,0,67
3139,Operations,region_15,Bachelors,m,other,1,49,1.0,11,0,0,56
69182,Analytics,region_2,Bachelors,m,other,2,39,5.0,7,0,0,87
1670,Analytics,region_22,Masters & above,m,other,1,26,3.0,2,1,0,86
49444,Operations,region_10,Masters & above,m,other,1,44,3.0,2,1,0,56
58405,Technology,region_2,Bachelors,f,other,2,28,1.0,4,0,0,81
40026,Operations,region_8,Masters & above,f,sourcing,1,37,3.0,10,0,0,61
32277,Operations,region_16,Bachelors,m,sourcing,2,33,5.0,7,1,1,58
66866,Technology,region_30,Bachelors,m,sourcing,1,29,4.0,3,1,0,83
26262,Sales & Marketing,region_14,Bachelors,m,other,1,35,3.0,7,0,0,56
29295,Technology,region_28,Masters & above,m,sourcing,1,31,5.0,3,1,0,80
32185,Procurement,region_8,Bachelors,m,sourcing,1,32,3.0,3,0,0,68
25886,Technology,region_15,Masters & above,m,other,1,37,1.0,3,1,0,74
47044,Technology,region_4,Bachelors,m,sourcing,1,30,,1,0,0,77
7534,Procurement,region_27,Bachelors,f,other,1,34,5.0,3,1,0,73
23808,Operations,region_13,Masters & above,f,sourcing,1,48,4.0,19,0,0,61
63388,Operations,region_2,Bachelors,f,other,1,32,4.0,7,1,0,60
74020,Sales & Marketing,region_22,Bachelors,f,sourcing,2,32,5.0,6,0,0,50
70362,Technology,region_20,Masters & above,m,other,1,38,3.0,4,1,1,81
12553,Sales & Marketing,region_1,Bachelors,m,sourcing,1,29,2.0,2,0,0,55
4488,Technology,region_7,Below Secondary,m,other,2,25,3.0,2,0,0,80
21265,Finance,region_2,Bachelors,f,sourcing,1,34,4.0,3,0,0,57
43684,HR,region_2,Masters & above,m,other,1,30,5.0,8,1,0,48
59144,Analytics,region_1,Masters & above,m,other,1,31,5.0,10,0,0,89
19241,Operations,region_19,Bachelors,m,other,1,31,3.0,6,1,0,59
18341,Analytics,region_26,Masters & above,m,other,1,39,5.0,12,0,0,84
71082,Sales & Marketing,region_13,Bachelors,m,other,1,47,1.0,4,0,0,53
56576,Technology,region_7,Bachelors,m,sourcing,1,28,1.0,2,0,0,80
11160,Procurement,region_10,Bachelors,f,sourcing,1,34,3.0,7,0,0,72
21630,Sales & Marketing,region_6,Bachelors,m,other,1,28,,1,0,0,52
73939,Sales & Marketing,region_31,Bachelors,m,other,1,50,2.0,12,0,0,52
70144,Technology,region_2,Bachelors,f,other,3,51,5.0,12,1,0,81
20943,Operations,region_11,Bachelors,f,sourcing,1,29,3.0,2,0,0,57
21449,Operations,region_19,Bachelors,f,sourcing,1,40,5.0,8,0,0,58
62028,Procurement,region_8,Bachelors,m,sourcing,1,28,3.0,5,0,0,70
39519,Sales & Marketing,region_4,Bachelors,m,sourcing,1,31,5.0,10,1,0,50
65556,Procurement,region_19,Bachelors,m,sourcing,1,32,4.0,7,1,0,67
289,Sales & Marketing,region_22,Bachelors,f,other,2,37,1.0,2,1,0,54
8909,Operations,region_6,Bachelors,m,other,1,26,5.0,4,1,0,62
16611,Operations,region_22,Bachelors,m,other,1,33,5.0,6,0,0,60
69940,Operations,region_16,Bachelors,f,sourcing,1,27,,1,0,0,59
56519,Sales & Marketing,region_2,Masters & above,m,other,1,57,2.0,7,0,0,48
77792,Operations,region_13,Masters & above,f,other,1,43,2.0,10,1,0,62
73938,Sales & Marketing,region_2,Bachelors,f,sourcing,1,43,1.0,10,0,0,51
53688,Procurement,region_30,Bachelors,f,other,1,33,5.0,3,1,0,70
47884,Technology,region_22,Bachelors,f,other,1,29,4.0,2,0,0,93
72586,Sales & Marketing,region_15,Bachelors,m,other,1,35,2.0,7,0,0,54
64033,Technology,region_31,Masters & above,m,other,1,41,2.0,12,0,0,78
58585,Operations,region_2,Bachelors,m,other,1,33,1.0,8,0,0,56
50393,Operations,region_4,Bachelors,m,sourcing,1,37,4.0,3,0,0,60
28183,Legal,region_13,Bachelors,m,other,1,32,,1,0,0,59
29553,Sales & Marketing,region_22,Bachelors,m,other,1,30,4.0,6,1,0,51
148,Sales & Marketing,region_6,Bachelors,f,other,1,35,2.0,7,1,1,47
10193,HR,region_31,Bachelors,f,other,1,29,5.0,6,0,0,57
36605,Technology,region_26,Masters & above,f,other,1,32,4.0,9,0,0,83
46563,Technology,region_22,Bachelors,m,other,3,30,4.0,4,0,0,83
10663,Legal,region_6,Bachelors,m,sourcing,2,28,,1,1,0,58
62570,Sales & Marketing,region_26,Bachelors,m,sourcing,1,49,3.0,8,0,0,49
33676,Technology,region_27,Bachelors,m,sourcing,1,34,4.0,3,1,0,85
22794,Sales & Marketing,region_2,,m,sourcing,2,33,1.0,4,0,0,56
22682,Analytics,region_4,Masters & above,m,sourcing,1,38,3.0,10,1,0,89
40226,Analytics,region_22,Bachelors,m,referred,1,28,3.0,6,0,0,97
39526,Analytics,region_22,Masters & above,m,other,1,27,3.0,5,0,0,81
69803,Operations,region_31,Bachelors,m,sourcing,1,26,5.0,3,1,0,59
60785,Sales & Marketing,region_1,Bachelors,m,sourcing,1,30,,1,0,0,48
22203,Technology,region_29,Bachelors,m,other,1,29,3.0,4,0,0,80
25655,Sales & Marketing,region_7,Bachelors,m,other,1,37,3.0,8,0,0,46
30749,Procurement,region_12,Bachelors,f,other,2,25,3.0,2,1,0,67
26863,Sales & Marketing,region_6,Bachelors,m,other,1,37,5.0,10,0,0,51
51240,Procurement,region_2,Masters & above,m,other,1,33,4.0,9,0,0,68
75010,Sales & Marketing,region_17,Masters & above,m,sourcing,1,35,1.0,3,1,0,45
51902,Finance,region_13,Bachelors,m,other,1,31,5.0,3,0,0,59
34725,Operations,region_23,,m,sourcing,1,29,3.0,7,0,0,55
52587,Procurement,region_2,Bachelors,m,other,1,44,2.0,16,0,0,70
42399,Operations,region_2,Bachelors,m,other,3,31,5.0,5,1,0,58
71321,HR,region_7,Bachelors,m,other,2,27,3.0,4,0,0,51
649,Technology,region_7,Masters & above,f,other,3,40,3.0,7,0,0,78
4511,Operations,region_15,Masters & above,m,other,1,41,4.0,2,0,0,60
71224,Operations,region_16,Bachelors,m,sourcing,1,29,4.0,5,0,0,59
50374,Procurement,region_7,Masters & above,m,sourcing,1,34,4.0,7,1,0,69
29812,Operations,region_32,Bachelors,m,other,1,31,1.0,5,0,0,60
22353,Finance,region_31,Bachelors,m,other,1,26,2.0,2,0,0,59
6130,Sales & Marketing,region_24,Bachelors,m,other,1,27,2.0,2,0,0,50
22606,Operations,region_2,Bachelors,m,sourcing,1,56,1.0,14,0,0,61
46808,Legal,region_26,Bachelors,m,other,1,30,1.0,2,0,0,59
60316,Sales & Marketing,region_16,Bachelors,m,other,1,24,3.0,2,0,0,57
34787,Finance,region_2,Bachelors,m,other,1,41,4.0,8,1,0,65
34118,Operations,region_19,Bachelors,m,other,1,38,5.0,7,0,0,57
19894,Technology,region_22,Bachelors,m,referred,2,27,,1,1,0,81
17532,Procurement,region_2,Masters & above,f,other,1,60,5.0,10,1,0,75
31896,Operations,region_21,Bachelors,m,sourcing,1,34,5.0,3,0,0,58
67886,Operations,region_27,Bachelors,f,other,1,42,5.0,5,1,0,63
9535,Procurement,region_2,Bachelors,m,sourcing,1,31,3.0,5,1,0,70
8348,Sales & Marketing,region_9,Bachelors,m,other,2,26,3.0,5,0,0,48
39818,Technology,region_33,Bachelors,m,other,1,35,5.0,8,1,0,81
9646,Finance,region_2,Masters & above,m,sourcing,2,38,5.0,8,0,0,61
4554,Technology,region_16,Bachelors,m,sourcing,2,39,5.0,8,0,0,77
47564,Sales & Marketing,region_26,Masters & above,m,sourcing,1,40,3.0,10,0,0,51
68209,Procurement,region_2,Bachelors,f,other,1,51,1.0,9,0,0,72
20030,Sales & Marketing,region_2,Bachelors,f,other,1,28,1.0,4,0,0,44
59752,Sales & Marketing,region_2,Masters & above,f,sourcing,1,38,5.0,8,0,0,48
307,Finance,region_2,Bachelors,m,sourcing,1,33,4.0,4,0,0,60
39801,HR,region_2,Masters & above,f,other,1,36,3.0,5,1,1,92
6575,Technology,region_23,Bachelors,f,other,1,32,5.0,7,0,0,76
38115,Analytics,region_15,Bachelors,m,sourcing,1,30,3.0,6,0,0,93
44744,Sales & Marketing,region_30,Bachelors,m,other,1,30,3.0,4,0,0,50
61360,R&D,region_22,Bachelors,f,other,1,31,4.0,3,0,0,87
55476,Sales & Marketing,region_3,Masters & above,m,sourcing,1,41,3.0,12,0,0,46
51005,Sales & Marketing,region_13,Masters & above,m,sourcing,1,35,3.0,4,0,0,48
41731,Operations,region_19,Bachelors,m,sourcing,1,41,2.0,15,0,0,59
69357,Sales & Marketing,region_7,Bachelors,m,other,1,26,,1,0,0,45
53621,HR,region_2,Bachelors,f,sourcing,1,39,3.0,13,0,0,54
71599,Technology,region_7,Masters & above,m,other,1,35,1.0,7,0,0,81
21215,Sales & Marketing,region_2,Masters & above,f,sourcing,1,52,4.0,16,0,0,50
32310,Operations,region_15,Masters & above,f,other,1,41,3.0,13,0,0,60
66559,Sales & Marketing,region_6,Bachelors,m,sourcing,1,32,4.0,7,0,0,52
26996,Sales & Marketing,region_25,Bachelors,m,other,1,34,3.0,6,0,0,54
54095,Analytics,region_23,Bachelors,m,other,1,26,5.0,3,1,0,83
57146,Sales & Marketing,region_23,Masters & above,m,sourcing,1,35,1.0,2,0,0,50
66608,Sales & Marketing,region_14,Masters & above,m,other,1,33,1.0,3,1,0,49
2675,Technology,region_15,Bachelors,m,other,3,48,3.0,7,0,0,82
78254,Operations,region_7,Bachelors,m,other,1,32,5.0,3,1,0,59
32880,Sales & Marketing,region_28,,m,other,1,32,3.0,6,0,0,56
46235,Legal,region_3,Bachelors,m,other,1,29,,1,1,0,59
56579,HR,region_7,Bachelors,m,other,1,40,5.0,10,1,0,51
36243,Sales & Marketing,region_2,Bachelors,m,sourcing,1,36,4.0,4,0,0,64
76430,Sales & Marketing,region_31,Bachelors,m,other,1,41,4.0,9,0,0,54
50116,Sales & Marketing,region_10,Bachelors,m,sourcing,1,33,5.0,10,0,0,54
32727,Technology,region_17,Bachelors,f,sourcing,1,33,3.0,6,0,0,78
168,Procurement,region_1,Bachelors,m,sourcing,1,25,5.0,3,1,0,72
31515,Sales & Marketing,region_2,,m,other,2,30,3.0,4,0,0,45
46270,Finance,region_2,Bachelors,f,other,2,26,,1,0,0,59
17866,Sales & Marketing,region_4,Masters & above,m,other,1,35,1.0,2,0,0,52
64269,HR,region_2,Bachelors,f,referred,1,30,5.0,8,1,0,52
68071,R&D,region_2,Bachelors,m,sourcing,1,29,3.0,3,0,0,83
31832,Operations,region_22,Bachelors,m,other,2,34,3.0,3,0,0,64
39360,Sales & Marketing,region_26,Bachelors,m,other,1,30,1.0,5,0,0,48
72636,Procurement,region_22,Masters & above,m,other,1,39,3.0,5,0,0,70
48800,Procurement,region_22,Bachelors,f,sourcing,1,27,3.0,5,1,0,69
25322,Procurement,region_11,Bachelors,m,sourcing,2,28,4.0,5,1,0,70
6971,Operations,region_15,Bachelors,m,other,1,41,4.0,12,0,0,64
67875,Sales & Marketing,region_7,Masters & above,m,other,1,41,2.0,10,1,0,52
56511,Sales & Marketing,region_22,Masters & above,m,other,1,50,3.0,3,1,0,47
70405,Operations,region_2,Bachelors,m,sourcing,2,30,3.0,7,1,0,60
65519,Technology,region_5,Bachelors,m,other,1,27,2.0,4,0,0,80
38295,Sales & Marketing,region_15,Bachelors,m,sourcing,1,35,3.0,5,0,0,52
29885,Analytics,region_32,Bachelors,m,other,3,26,5.0,2,1,0,86
42675,Sales & Marketing,region_28,,m,other,1,28,3.0,3,0,0,51
36114,Sales & Marketing,region_19,Bachelors,m,sourcing,1,42,3.0,3,0,0,50
69210,Procurement,region_7,Masters & above,m,other,3,37,3.0,4,0,0,64
42552,Sales & Marketing,region_7,Masters & above,m,other,6,40,3.0,4,0,0,52
78058,HR,region_27,Masters & above,m,other,1,46,3.0,6,1,0,52
7993,Sales & Marketing,region_29,Bachelors,m,other,1,26,5.0,2,0,0,49
13186,Analytics,region_25,Masters & above,m,other,1,37,3.0,3,0,0,84
5744,Sales & Marketing,region_7,Bachelors,m,sourcing,1,43,2.0,13,0,0,54
2310,Analytics,region_22,Bachelors,m,other,1,29,3.0,4,1,0,86
771,Sales & Marketing,region_23,Bachelors,m,sourcing,1,31,3.0,7,1,0,53
48788,Technology,region_28,Masters & above,f,other,1,32,5.0,3,1,0,82
53537,Operations,region_30,Masters & above,m,sourcing,1,37,3.0,5,0,0,60
21158,Technology,region_13,Masters & above,m,sourcing,2,34,5.0,7,1,0,72
33538,Technology,region_25,Masters & above,m,sourcing,1,34,5.0,3,0,0,77
70218,Technology,region_4,Masters & above,m,sourcing,1,37,3.0,4,1,0,80
749,Sales & Marketing,region_4,Masters & above,m,sourcing,1,40,5.0,10,1,0,50
49305,Operations,region_2,Bachelors,m,other,1,36,3.0,10,0,0,59
29931,Operations,region_15,Bachelors,m,sourcing,1,40,1.0,6,0,0,54
42488,Sales & Marketing,region_13,,m,sourcing,2,31,3.0,3,0,0,48
12917,Procurement,region_16,Bachelors,f,sourcing,1,27,3.0,4,0,0,69
29834,Finance,region_22,Bachelors,m,other,1,30,3.0,1,1,0,58
32458,Technology,region_33,Bachelors,m,sourcing,1,35,5.0,2,1,0,78
47019,Procurement,region_13,Masters & above,f,other,1,32,3.0,5,1,0,67
2052,Finance,region_8,Bachelors,f,other,1,28,5.0,3,1,0,63
5393,Operations,region_2,Bachelors,f,sourcing,2,30,5.0,5,1,0,55
22260,Sales & Marketing,region_2,Masters & above,f,other,1,46,1.0,6,0,0,51
37751,Sales & Marketing,region_26,Bachelors,m,other,1,33,5.0,9,0,0,49
62951,Procurement,region_26,Bachelors,m,other,5,32,3.0,8,0,0,67
50170,Procurement,region_15,,f,sourcing,1,53,4.0,7,0,0,69
50644,R&D,region_7,Masters & above,m,sourcing,1,37,5.0,4,1,1,87
1055,Sales & Marketing,region_2,Bachelors,m,other,2,23,3.0,2,0,0,59
3318,Legal,region_22,Bachelors,m,other,1,27,3.0,4,0,0,61
29386,Procurement,region_2,Bachelors,f,other,1,60,4.0,20,0,0,65
23011,Sales & Marketing,region_16,Bachelors,f,sourcing,1,40,4.0,5,0,0,52
43190,Analytics,region_6,Bachelors,f,sourcing,2,32,5.0,3,0,0,89
58443,Technology,region_5,Bachelors,m,other,1,25,1.0,2,0,0,80
16693,Operations,region_20,Bachelors,m,sourcing,1,40,3.0,9,1,0,64
67671,Sales & Marketing,region_21,,m,sourcing,1,39,1.0,9,0,0,49
47438,Operations,region_21,Bachelors,m,sourcing,1,26,5.0,4,1,0,57
23575,Procurement,region_17,Bachelors,f,other,1,35,4.0,3,1,0,69
50237,Finance,region_2,Below Secondary,m,sourcing,2,25,,1,0,0,61
36444,Technology,region_15,Bachelors,m,sourcing,2,35,5.0,3,1,1,79
20301,Technology,region_2,Masters & above,f,other,1,41,3.0,10,0,0,75
30296,Sales & Marketing,region_26,Bachelors,m,other,1,35,5.0,7,1,0,46
15644,Procurement,region_7,Masters & above,f,sourcing,3,40,3.0,4,0,0,68
48938,HR,region_22,Masters & above,m,other,1,35,1.0,8,0,0,49
76860,Sales & Marketing,region_15,Bachelors,m,sourcing,1,43,3.0,14,0,0,46
37084,Legal,region_7,Bachelors,m,sourcing,1,37,3.0,9,0,0,58
72658,Procurement,region_17,Bachelors,m,other,3,32,2.0,5,0,0,70
44047,Sales & Marketing,region_19,Bachelors,m,sourcing,1,28,4.0,5,0,0,53
41074,Operations,region_31,Masters & above,f,sourcing,1,48,4.0,9,0,0,59
59963,Procurement,region_16,Bachelors,m,other,1,35,3.0,5,1,0,69
28008,Procurement,region_26,Bachelors,m,other,2,32,3.0,8,0,0,66
60795,HR,region_2,Masters & above,f,sourcing,1,49,2.0,18,0,0,50
65951,Analytics,region_26,Bachelors,m,other,1,28,4.0,3,1,0,93
16918,Analytics,region_2,Masters & above,m,sourcing,2,42,5.0,13,0,0,82
64782,Sales & Marketing,region_7,,m,other,3,31,3.0,3,0,0,51
35790,R&D,region_2,Bachelors,m,sourcing,2,33,5.0,10,1,0,85
49445,HR,region_31,Bachelors,m,other,1,32,,1,0,0,47
36356,Sales & Marketing,region_20,Masters & above,m,other,1,36,1.0,4,0,0,46
31887,Technology,region_23,Bachelors,m,other,3,29,3.0,3,0,0,81
56104,Procurement,region_4,Masters & above,m,other,4,36,3.0,6,0,0,71
59299,Operations,region_22,Bachelors,m,other,1,42,4.0,14,1,0,61
3909,Operations,region_19,Bachelors,f,other,1,39,5.0,4,1,0,59
71202,Technology,region_26,Masters & above,m,sourcing,1,47,1.0,5,0,0,79
55855,Finance,region_6,Bachelors,m,sourcing,1,25,2.0,2,0,0,61
48900,Technology,region_7,Bachelors,f,other,1,25,4.0,2,1,0,82
20271,Sales & Marketing,region_15,Bachelors,m,sourcing,1,40,4.0,10,0,0,49
35761,Procurement,region_5,Bachelors,m,other,1,40,2.0,9,0,0,70
43285,HR,region_26,Bachelors,f,sourcing,1,33,1.0,2,1,0,48
28104,Procurement,region_26,Bachelors,m,sourcing,1,27,,1,0,0,66
26615,Sales & Marketing,region_27,Masters & above,m,other,1,37,4.0,10,1,0,49
30146,Sales & Marketing,region_30,Masters & above,m,other,1,38,3.0,3,1,0,48
50066,Analytics,region_23,Bachelors,m,sourcing,1,27,5.0,2,1,0,86
44024,Sales & Marketing,region_19,Bachelors,m,other,1,42,2.0,5,0,0,52
4994,Operations,region_2,Masters & above,f,other,1,52,5.0,14,1,0,60
16600,Technology,region_2,Bachelors,f,sourcing,1,58,5.0,17,1,0,76
72838,Sales & Marketing,region_13,Bachelors,m,other,1,40,5.0,7,1,0,47
66008,Operations,region_22,Masters & above,f,sourcing,1,41,5.0,12,0,0,73
2125,Sales & Marketing,region_2,Bachelors,f,other,1,42,4.0,12,0,0,48
44987,Procurement,region_15,Masters & above,m,other,3,32,3.0,7,0,0,67
58208,Analytics,region_2,Bachelors,m,other,1,43,5.0,4,1,0,83
8934,Sales & Marketing,region_16,Bachelors,m,other,2,39,3.0,9,0,0,47
13960,Sales & Marketing,region_22,Masters & above,m,sourcing,1,32,2.0,10,0,0,49
53393,Procurement,region_33,Bachelors,m,other,3,30,3.0,3,1,0,69
269,Sales & Marketing,region_2,Bachelors,m,other,1,38,2.0,8,0,0,47
48867,Sales & Marketing,region_4,Bachelors,m,other,1,46,5.0,13,0,0,54
14215,Technology,region_23,Masters & above,m,sourcing,2,35,3.0,4,1,0,80
12492,Operations,region_32,Bachelors,m,other,1,28,,1,0,0,60
3876,Finance,region_22,Bachelors,m,other,1,24,5.0,2,0,0,69
10809,Sales & Marketing,region_22,Masters & above,m,sourcing,1,37,1.0,4,0,0,48
40721,Analytics,region_11,Bachelors,m,other,1,39,5.0,3,0,0,87
75420,Technology,region_7,Bachelors,m,sourcing,1,36,3.0,10,0,0,84
65545,Finance,region_22,Masters & above,m,sourcing,1,38,4.0,5,1,0,69
71546,Sales & Marketing,region_32,Bachelors,f,sourcing,1,27,2.0,5,0,0,54
31008,Analytics,region_2,Masters & above,m,sourcing,1,41,3.0,5,1,0,83
65091,Technology,region_13,Bachelors,f,other,2,29,3.0,4,0,0,83
74618,Technology,region_7,Bachelors,m,sourcing,1,38,2.0,9,0,0,81
69418,Technology,region_2,Masters & above,m,sourcing,1,36,3.0,7,0,0,81
24168,Analytics,region_13,Masters & above,m,other,1,30,3.0,5,0,0,83
14243,Analytics,region_26,Bachelors,m,other,1,26,4.0,3,0,0,83
77965,Procurement,region_13,Bachelors,f,sourcing,1,32,4.0,7,0,0,70
76656,Finance,region_22,Masters & above,m,sourcing,1,33,4.0,6,0,0,58
21310,Sales & Marketing,region_28,Bachelors,m,other,1,31,3.0,3,0,0,53
31078,HR,region_28,Bachelors,m,other,1,30,4.0,6,0,0,55
4612,Technology,region_22,Bachelors,m,sourcing,1,30,,1,1,0,78
26054,Sales & Marketing,region_7,Masters & above,m,sourcing,1,38,4.0,4,0,0,50
39805,Finance,region_2,Bachelors,m,other,2,29,4.0,5,0,0,57
62212,Procurement,region_31,Masters & above,f,other,1,37,3.0,2,1,1,97
787,Procurement,region_7,Bachelors,f,other,1,28,,1,0,0,69
30270,Operations,region_2,Bachelors,f,sourcing,1,42,5.0,14,1,0,64
3555,Procurement,region_32,Bachelors,m,other,1,32,3.0,5,0,0,68
69109,Procurement,region_20,Bachelors,f,other,1,28,2.0,4,0,0,69
65599,Operations,region_2,Below Secondary,f,other,1,23,,1,1,0,61
52006,Finance,region_22,Masters & above,m,other,1,33,3.0,3,0,0,57
13728,Analytics,region_14,Bachelors,m,other,1,30,3.0,5,0,0,85
